spotify_id,name
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
716NhGYqD1jl2wI1Qkgq36,Bizarrap
0EmeFodog0BfCgMzAIvKQp,Shakira
7tYKF4w9nC0nq9CsPZTHyP,SZA
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
1URnnhqYAYcrqrcwql10ft,21 Savage
6KImCVD70vtIoJWnq6nGn3,Harry Styles
2wY79sveU1sp5g7SokKOiI,Sam Smith
3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
46pWGuE3dSwY3bMMXGBvVS,Rema
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel
2LRoIwlKmHjgvigdNGBHNo,Feid
5KKpBU5eC2tJDzf0wmlRp2,RAYE
12Zk1DFhCbHY6v3xep2ZjI,070 Shake
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo
06HL4z0CvFAxyc27GXpf02,Taylor Swift
4SsVbpTthjScTS7U2hmr1X,Arcángel
4q3ewBCX7sLwd24euuV69X,Bad Bunny
5y8tKLUfMvliMe8IKamR32,d4vd
6HvZYsbFfjnjFrWF950C9d,NewJeans
360IAlyVv4PCEVjgyMZrxK,Miguel
52iwsT98xCoGgiGntTiR7K,Quevedo
164Uj4eKjl6zTBKfJLFKKK,JVKE
1i8SpTcr7yvPOmcqrbnVXY,Ozuna
2txHhyCwHjUEpJjWrEyqyX,Tom Odell
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez
7o2ZQYM7nTsaVdkXY38UAA,Em Beihold
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
