spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,mode,speechiness,tempo,valence
0yLdNVWF3Srea0uzk55zFn,0.0632,0.707,200455,0.681,0.00000515,0,0.0322,1,0.0668,117.999,0.646
4nrPB8O7Y7wsOCJdgXkthe,0.274,0.778,218289,0.632,0,2,0.0915,0,0.0493,122.104,0.498
1Qrg8KqiBpW07V7PNxwwwL,0.0521,0.644,153947,0.735,0.144,8,0.161,1,0.0391,88.98,0.418
2dHHgzDwk4BJdRwy9uXhTO,0.417,0.715,221520,0.62,0,1,0.0822,0,0.0484,97.95,0.172
4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,167303,0.731,0.00101,6,0.311,0,0.0557,173.93,0.662
0NZPBYD5qbEWRs3PrGiRkT,0.011,0.712,156943,0.463,0.00000296,2,0.301,1,0.0797,131.199,0.206
4uUG5RXrOk84mYEfFvj3cK,0.00383,0.561,175238,0.965,0.00000707,7,0.371,0,0.0343,128.04,0.304
0WtM2NBVQNNJLh6scP13H8,0.382,0.801,239318,0.806,0.000669,11,0.114,1,0.0381,106.999,0.802
4FAKtPVycI4DxoOHC01YqD,0.0492,0.783,216148,0.729,0.000272,6,0.1,0,0.0691,167.968,0.58
5WxVXxCMRnvxUKFq40ELwq,0.138,0.538,272373,0.742,0.0000467,2,0.0934,1,0.114,96.107,0.25
5ww2BF9slyYgNOk37BlC4u,0.583,0.835,162638,0.679,0.00000198,7,0.218,0,0.0364,124.98,0.85
0V3wPSX9ygBnCm8psDIegu,0.13,0.637,200690,0.643,0.0000018,4,0.142,1,0.0519,97.008,0.533
2mnXxnrX5vCGolNkaFvVeM,0.111,0.887,196800,0.234,0.67,9,0.13,1,0.178,140.02,0.197
78Sw5GDo6AlGwTwanjXbGh,0.534,0.574,242485,0.469,0.0000921,4,0.128,1,0.0254,132.023,0.288
3r8RuvgbX9s7ammBn07D3W,0.027,0.814,185507,0.641,0,6,0.0993,0,0.111,133.854,0.183
0JXXNGljqupsJaZsgSbMZV,0.0267,0.684,195373,0.607,0.000307,11,0.191,0,0.1,81.001,0.498
2LBqCSwhJGcFQeTHMVGwy3,0.111,0.586,260253,0.525,0,1,0.134,0,0.0615,133.629,0.508
2tTmW7RDtMQtBk7m2rYeSw,0.0125,0.621,198938,0.782,0.033,2,0.23,1,0.044,128.033,0.55
65FftemJ1DbbZ45DUfHJXE,0.357,0.804,212253,0.771,0.00000307,9,0.108,0,0.0433,126.956,0.739
5odlY52u43F5BjByhxg7wg,0.653,0.515,209260,0.593,0.162,4,0.25,1,0.0322,94.467,0.153
1zsPaEkglFvxjAhrM8yhpr,0.00302,0.901,196600,0.589,0.000237,1,0.0992,0,0.289,98.002,0.399
7jtQIBanIiJOMS6RyCx6jZ,0.717,0.442,244360,0.538,0.0000295,4,0.09,0,0.0451,122.758,0.139
4h9wh7iOZ0GGn8QVp4RAOB,0.0826,0.704,148486,0.797,0.000745,0,0.0546,1,0.0475,139.994,0.825
0QHEIqNKsMoOY5urbzN48u,0.345,0.838,134256,0.525,0.00000192,10,0.0771,1,0.0665,144.981,0.884
1Y3LN4zO1Edc2EluIoSPJN,0.777,0.551,176440,0.55,0,10,0.202,1,0.0286,101.19,0.342
5XeFesFbtLpXzIVDNQP22n,0.136,0.464,183956,0.417,0.022,0,0.0974,0,0.0256,67.528,0.479
1bDbXMyjaUIooNwFE9wn0N,0.0503,0.561,239360,0.52,0.00000186,11,0.355,0,0.244,153.15,0.424
561jH07mF1jHuk7KlaeF0s,0.209,0.637,250760,0.678,0,0,0.156,1,0.266,84.039,0.254
4sx6NRwL6Ol3V6m9exwGlQ,0.716,0.662,145850,0.398,0,11,0.111,0,0.0275,107.001,0.468
0vjeOZ3Ft5jvAi9SBFJm1j,0.152,0.526,182667,0.606,0.00000236,5,0.194,0,0.259,116.622,0.492
