spotify_id,created_at,name
0yLdNVWF3Srea0uzk55zFn,2023-02-01 15:47:05.870371,Flowers
4nrPB8O7Y7wsOCJdgXkthe,2023-02-01 15:48:20.045807,"Shakira: Bzrp Music Sessions, Vol. 53"
1Qrg8KqiBpW07V7PNxwwwL,2023-02-01 15:48:20.057808,Kill Bill
2dHHgzDwk4BJdRwy9uXhTO,2023-02-01 15:48:20.062808,Creepin' (with The Weeknd & 21 Savage)
4Dvkj6JhhA12EX05fT7y2e,2023-02-01 15:48:20.074808,As It Was
0NZPBYD5qbEWRs3PrGiRkT,2023-02-01 15:48:20.079808,Unholy (feat. Kim Petras)
4uUG5RXrOk84mYEfFvj3cK,2023-02-01 15:48:20.091808,I'm Good (Blue)
0WtM2NBVQNNJLh6scP13H8,2023-02-01 15:48:20.099807,Calm Down (with Selena Gomez)
4FAKtPVycI4DxoOHC01YqD,2023-02-01 15:48:20.108807,Yandel 150
5WxVXxCMRnvxUKFq40ELwq,2023-02-01 15:48:20.116807,Escapism.
5ww2BF9slyYgNOk37BlC4u,2023-02-01 15:48:20.125808,La Bachata
0V3wPSX9ygBnCm8psDIegu,2023-02-01 15:48:20.131809,Anti-Hero
2mnXxnrX5vCGolNkaFvVeM,2023-02-01 15:48:20.136807,La Jumpa
78Sw5GDo6AlGwTwanjXbGh,2023-02-01 15:48:20.145808,Here With Me
3r8RuvgbX9s7ammBn07D3W,2023-02-01 15:48:20.151808,Ditto
0JXXNGljqupsJaZsgSbMZV,2023-02-01 15:48:20.156807,Sure Thing
2LBqCSwhJGcFQeTHMVGwy3,2023-02-01 15:48:20.161808,Die For You
2tTmW7RDtMQtBk7m2rYeSw,2023-02-01 15:48:20.167808,"Quevedo: Bzrp Music Sessions, Vol. 52"
65FftemJ1DbbZ45DUfHJXE,2023-02-01 15:48:20.176808,OMG
5odlY52u43F5BjByhxg7wg,2023-02-01 15:48:20.182808,golden hour
1zsPaEkglFvxjAhrM8yhpr,2023-02-01 15:48:20.187807,Hey Mor
7jtQIBanIiJOMS6RyCx6jZ,2023-02-01 15:48:20.196808,Another Love
4h9wh7iOZ0GGn8QVp4RAOB,2023-02-01 15:48:20.202807,I Ain't Worried
0QHEIqNKsMoOY5urbzN48u,2023-02-01 15:48:20.207811,Made You Look
1Y3LN4zO1Edc2EluIoSPJN,2023-02-01 15:48:20.214807,Until I Found You (with Em Beihold) - Em Beihold Version
5XeFesFbtLpXzIVDNQP22n,2023-02-01 15:48:20.221808,I Wanna Be Yours
1bDbXMyjaUIooNwFE9wn0N,2023-02-01 15:48:20.226807,Rich Flex
561jH07mF1jHuk7KlaeF0s,2023-02-01 15:48:20.235808,Mockingbird
4sx6NRwL6Ol3V6m9exwGlQ,2023-02-01 15:48:20.241807,Love Again
0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-01 15:48:20.246808,Superhero (Heroes & Villains) [with Future & Chris Brown]
0IKeDy5bT9G0bA7ZixRT4A,2023-02-01 15:48:20.258808,Bebe Dame
54ipXppHLA8U4yqpOFTUhr,2023-02-01 15:48:20.265807,Bones
2CeKVsFFXG4QzA415QygGb,2023-02-01 15:48:20.270808,Feliz Cumpleaños Ferxxo
73vIOb4Q7YN6HeJTbscRx5,2023-02-01 15:48:20.276807,Miss You
3zkyus0njMCL6phZmNNEeN,2023-02-01 15:48:20.283808,LET GO
7MXVkk9YMctZqd1Srtv4MB,2023-02-01 15:48:20.288808,Starboy
567e29TDzLwZwfDuEpGTwo,2023-02-01 15:48:20.296807,STAY (with Justin Bieber)
1xK59OXxi2TAAAbmZK0kBL,2023-02-01 15:48:20.305808,Romantic Homicide
4iZ4pt7kvcaH6Yo8UoZ4s2,2023-02-01 15:48:20.310808,Snooze
4WiQA1AGWHFvaxBU6bHghs,2023-02-01 15:48:20.316807,PUNTO G
6zJejIfVYLgjud3lTk4DLB,2023-02-01 15:48:20.322806,SNAP
6Sq7ltF9Qa7SNFBsV5Cogx,2023-02-01 15:48:20.327808,Me Porto Bonito
4FyesJzVpA39hbYvcseO2d,2023-02-01 15:48:20.335807,Just Wanna Rock
2QjOHCTQ1Jl3zawyYOpxh6,2023-02-01 15:48:20.340809,Sweater Weather
5IgjP7X4th6nMNDh4akUHb,2023-02-01 15:48:20.345807,Under The Influence
1lRtH4FszTrwwlK5gTSbXO,2023-02-01 15:48:20.351807,AMG
4k6Uh1HXdhtusDW5y8Gbvy,2023-02-01 15:48:20.362809,Bad Habit
2mpoNBkngUEwnaKoBhZ0vl,2023-02-01 15:48:20.367808,PRC
54ELExv56KCAB4UP9cOCzC,2023-02-01 15:48:20.376808,Gato de Noche
2SiAcexM2p1yX6joESbehd,2023-02-01 15:48:20.385808,LLYLM
72OVnXDzugvrCU25lMi9au,2023-02-01 15:48:20.980808,"如果可以 - 電影""月老""主題曲"
0USeB0Tykai3QZj5YAUclG,2023-02-01 15:48:21.000808,眼淚記得你 - 電影《想見你》主題曲
07plVccQ0N6FTTTonk3c2M,2023-02-01 15:48:21.010807,閣愛妳一擺
6jNy9WM3zyvG9E5bdVALl8,2023-02-01 15:48:21.020808,好不容易 (《華燈初上》片尾曲)
0a4MMyCrzT0En247IhqZbD,2023-02-01 15:48:21.033807,Hype Boy
6akVETVeqqPVvuBS5e0EB1,2023-02-01 15:48:21.043808,孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲
6XBL9naPxZjATbmGAWGJ9V,2023-02-01 15:48:21.080808,飞鸟和蝉
4fJlSLYLiu5trFCMZdSQDC,2023-02-01 15:48:21.091807,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲
2VEt42QSQxILgEf9B50xxm,2023-02-01 15:48:21.102808,不是因為天氣晴朗才愛你
1IVj6CsBbTgOEpo0W6hgwN,2023-02-01 15:48:21.134807,嘉宾
1pbb71pOKB5iqfkju4NmPj,2023-02-01 15:48:21.151807,0321
0Eh0C7rpC5E0sPy4OcLdsq,2023-02-01 15:48:21.158811,我就想你
27FOde2nUw0pFuj7hlPbaS,2023-02-01 15:48:21.168807,愛人錯過
39HrUxcvKF3jtLz7fUDWXc,2023-02-01 15:48:21.180807,First Love
3CEkc8f1UDvI7kohz3ARpA,2023-02-01 15:48:21.187810,炙愛 - 女聲版
38DlSDrx9tgc5Gfq6y3aBa,2023-02-01 15:48:21.201807,MOONLIGHT SUNRISE
53yiHIP3ptxWtT4ambRcgb,2023-02-01 15:48:21.207815,終究還是因為愛
0KWnRv3wxjltYVB3MqjNd2,2023-02-01 15:48:21.271808,Without You
4QZMBVrBLAvBryj8ZJIIY2,2023-02-01 15:48:21.283808,小城夏天
6la3Kme7O7D01fJPxgpAS5,2023-02-01 15:48:21.300808,訣愛 (劇集《蒼蘭訣》片頭曲)
0FfNFvy5KRRyB2snvK39zL,2023-02-01 15:48:21.320807,I'm Alive
2OR5FUKy3GQ7I9DCbRnfsW,2023-02-01 15:48:21.329808,"最後一堂課 - 《媽,別鬧了!》影集片尾曲"
69zgyr5HVKdInjeKpq1qHa,2023-02-01 15:48:21.339808,"想見你想見你想見你(電視劇""想見你""片尾曲)"
61AZsmFB3VoJdmraMk5ZSn,2023-02-01 15:48:21.349807,VIBE (feat. Jimin of BTS)
69AvckyixY1AIGRYDZ1QnO,2023-02-01 15:48:21.358807,我很好騙
4U0bL1ouvksMgvXU2aKq4O,2023-02-01 15:48:21.368808,间距
4fsQ0K37TOXa3hEQfjEic1,2023-02-01 15:48:21.380807,ANTIFRAGILE
3V2v19gDm4rmRkMwcgS4X2,2023-02-01 15:48:21.386807,有些
6FSOibqLCbhFrmGdqMbwiZ,2023-02-01 15:48:21.400807,Letting Go
6whxKQ0Ocn1FmzpDc7lTHq,2023-02-01 15:48:21.420807,想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲
7IiSESHLOtsoEXTlXa0bjJ,2023-02-01 15:48:21.430812,想太多
7tgzj2IqzSgUpxUhjmcF5m,2023-02-01 15:48:21.443807,披星戴月的想你
5zwwW9Oq7ubSxoCGyW1nbY,2023-02-01 15:48:21.453808,Pink Venom
3OC84eKMxRJ4x0Hcwl9i4i,2023-02-01 15:48:21.461808,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲
6ZxvapmYLdLdRCdIFR0NRQ,2023-02-01 15:48:21.470808,晚风告白
6zjk7Qbwb9DZ4ykUUoqknh,2023-02-01 15:48:21.487807,第ゼロ感
5Y47GrCrjQY44qFv8Gt0Gm,2023-02-01 15:48:21.508809,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲
70ywpHtaToCmnULRT9Vu4p,2023-02-01 15:48:21.518807,親愛的對象 - 《關於我和鬼變成家人的那件事》電影主題曲
0rhI6gvOeCKA502RdJAbfs,2023-02-01 15:48:21.531808,Sugar Rush Ride
6pFxVcn6T4BdP8mfZpTQHZ,2023-02-01 15:48:21.536811,想和你看五月的晚霞
6gOZzuHIApHtAPTelkOMUc,2023-02-01 15:48:21.552807,Somebody Else
4Rt9k4SE8dbfKzngxKJPq9,2023-02-01 15:48:21.558807,擱淺
2pIUpMhHL6L9Z5lnKxJJr9,2023-02-01 15:48:21.572807,Attention
3uvoZKtpufJ9F2ETKGPlh5,2023-02-01 15:48:21.578809,又到天黑
0okYvXKPqzZpj3iZrJH6JK,2023-02-01 15:48:21.877921,DACIA
3WCrBnWabeuTk2wr6UwaYV,2023-02-01 15:48:21.882920,AFFETMEM
4OH5Cd8ZOI1eSgJSC9PYmU,2023-02-01 15:48:21.887921,Antidepresan
7lOGCEsmoHqai3PHS9kbTa,2023-02-01 15:48:21.895923,İMPARATOR
7wANX4VfTwrZrL6inJrqCM,2023-02-01 15:48:21.906921,TALIBANA
4ist5GP5r7UDz9gdsiJmYd,2023-02-01 15:48:21.914921,NKBİ X YAPAMAM - Remix
7toL7Re9rApzIuIFDaLQSe,2023-02-01 15:48:21.929921,Bi' Tek Ben Anlarım
2Nt4eocAv9wi1vHshhSdpF,2023-02-01 15:48:21.938925,VUR
4o4kbDP7DMVFPwAf5D5bj9,2023-02-01 15:48:21.944921,Aşkın Olayım
5ATwkalJ9FnLp7Zcvxo1rl,2023-02-01 15:48:21.953922,Belki
3QopdONAzZHRO1P4UQrNvw,2023-02-01 15:48:21.962922,Fırtınadayım
1MbZ6YY51arGV7mqeAb0y4,2023-02-01 15:48:21.971921,10MG
2Pe8d9oClBgLkkz2N35AiN,2023-02-01 15:48:21.976921,Unutmak Öyle Kolay Mı Sandın
4BeGu2WQNlpiREpmWGHD8U,2023-02-01 15:48:21.987922,Kuğulu Park
7Ebb2WheOGGauCH2wuQB55,2023-02-01 15:48:21.995921,Diyardan Diyara
4wLpDd099QT7TmNpMkFIvT,2023-02-01 15:48:22.007921,ZOR
5flH7FY4ledAQboO5a0XQ5,2023-02-01 15:48:22.012921,SENIN UGRUNA
755Pja1zaA687Vql25NHwP,2023-02-01 15:48:22.017921,Yalanı Bırak
3ABGx9FyeEdMCjDR5TyfdV,2023-02-01 15:48:22.033921,Ölümle Yaşam Arasında
4HuB9A0O1XwmwTVtTgODm8,2023-02-01 15:48:22.049922,25
0XNX9BCSWvEwsdBwUTRhMh,2023-02-01 15:48:22.054921,Kor
